station,località,lat,long,alt slm,Instrument height,Surface,,,,,,
pignano,Palazzo Pignano,45.390833,9.566389,81,2,suolo - terreno erboso,,,,,,
presezzo,Presezzo,45.697778,9.556944,247,4,suolo - nudo terreno,,,,,,
rescaldina,Rescaldina,45.617222,8.954722,225,3,suolo - terreno erboso,,,,,,
rho,Rho,45.534167,9.056389,158,2,suolo - terreno erboso,,,,,,
robecco,Robecco sul Naviglio,45.432222,8.885833,123,3,suolo - terreno erboso,,,,,,
rovagnasco,Rovagnasco di Segrate,45.500556,9.276944,122,2.5,suolo - terreno erboso,,,,,,
roveda,Roveda di Sedriano,45.488333,8.986389,143,2,suolo - terreno erboso,,,,,,
samarate,San Macario di Samarate,45.606667,8.784167,212,1.8,suolo - terreno erboso,,,,,,
sanangelo_lodigiano,Sant'Angelo Lodigiano,45.233889,9.397778,68,3,suolo - terreno erboso,,,,,,
sedriano,Sedriano,45.495833,8.966389,149,3,suolo - terreno erboso,,,,,,
seregno,Seregno,45.6625,9.206667,237,4,tetto - legno,,,,,,
settimo_mil,Settimo Milanese,45.482222,9.049167,130,4,suolo - terreno erboso,,,,,,
trescore_cremasco,Trescore Cremasco,45.408333,9.613889,86,5,suolo - asfalto,,,,,,
trevigliosud,Treviglio,45.509722,9.575556,130,9,tetto - laterizio,,,,,,
trezzanorosa,Trezzano Rosa,45.582222,9.486944,163,5,tetto - laterizio,,,,,,
tromello,Tromello,45.211944,8.865833,96,2,suolo - terreno erboso,,,,,,
uboldo,Uboldo,45.613056,8.996667,207,10,tetto - laterizio,,,,,,
vidigulfo,Vidigulfo,45.299167,9.225833,88,3,suolo - terreno erboso,,,,,,
vigevano,Vigevano,45.294722,8.854444,102,2,suolo - terreno erboso,,,,,,
vignate,Vignate,45.500278,9.380556,122,3,suolo - terreno erboso,,,,,,
villasanta,Villasanta,45.616944,9.301111,175,4,suolo - terreno erboso,,,,,,
vimodrone,Vimodrone,45.516111,9.286667,128,2,suolo - terreno erboso,,,,,,
vizzola,Somma Lombardo loc. Molino di Mezzo,45.6525,8.684167,178,5,tetto - laterizio,,,,,,
zerbolo,Parasacco di Zerbolò,45.227222,8.985,97,5,suolo - terreno erboso,,,,,,
zibidosangiacomo,Zibido San Giacomo,45.377778,9.128333,103,3.5,suolo - terreno erboso,,,,,,
